Rank,Name,basename,Genre,ESRB_Rating,Platform,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,Total_Shipped,Global_Sales,NA_Sales,PAL_Sales,JP_Sales,Other_Sales,Year,Last_Update,url,status,Vgchartzscore,img_url
1,Wii Sports,wii-sports,Sports,E,Wii,Nintendo,Nintendo EAD,,7.7,,82.86,,,,,,2006,,http://www.vgchartz.com/game/2667/wii-sports/?region=All,1,,/games/boxart/full_2258645AmericaFrontccc.jpg
2,Super Mario Bros.,super-mario-bros,Platform,,NES,Nintendo,Nintendo EAD,,10,,40.24,,,,,,1985,,http://www.vgchartz.com/game/6455/super-mario-bros/?region=All,1,,/games/boxart/8972270ccc.jpg
3,Mario Kart Wii,mario-kart-wii,Racing,E,Wii,Nintendo,Nintendo EAD,,8.2,9.1,37.14,,,,,,2008,11th Apr 18,http://www.vgchartz.com/game/6968/mario-kart-wii/?region=All,1,8.7,/games/boxart/full_8932480AmericaFrontccc.jpg
4,PlayerUnknown's Battlegrounds,playerunknowns-battlegrounds,Shooter,,PC,PUBG Corporation,PUBG Corporation,,,,36.6,,,,,,2017,13th Nov 18,http://www.vgchartz.com/game/215988/playerunknowns-battlegrounds/?region=All,1,,/games/boxart/full_8052843AmericaFrontccc.jpg
5,Wii Sports Resort,wii-sports-resort,Sports,E,Wii,Nintendo,Nintendo EAD,,8,8.8,33.09,,,,,,2009,,http://www.vgchartz.com/game/24656/wii-sports-resort/?region=All,1,8.8,/games/boxart/full_7295041AmericaFrontccc.jpg
6,Pokemon Red / Green / Blue Version,pokmon-red,Role-Playing,E,GB,Nintendo,Game Freak,,9.4,,31.38,,,,,,1998,,http://www.vgchartz.com/game/4030/pokemon-red-green-blue-version/?region=All,1,,/games/boxart/full_6442337AmericaFrontccc.png
7,New Super Mario Bros.,new-super-mario-bros,Platform,E,DS,Nintendo,Nintendo EAD,,9.1,8.1,30.8,,,,,,2006,,http://www.vgchartz.com/game/1582/new-super-mario-bros/?region=All,1,,/games/boxart/full_2916260AmericaFrontccc.jpg
8,Tetris,tetris,Puzzle,E,GB,Nintendo,Bullet Proof Software,,,,30.26,,,,,,1989,,http://www.vgchartz.com/game/4534/tetris/?region=All,1,,/games/boxart/3740960ccc.jpg
9,New Super Mario Bros. Wii,new-super-mario-bros-wii,Platform,E,Wii,Nintendo,Nintendo EAD,,8.6,9.2,30.22,,,,,,2009,,http://www.vgchartz.com/game/35076/new-super-mario-bros-wii/?region=All,1,9.1,/games/boxart/full_1410872AmericaFrontccc.jpg
10,Minecraft,minecraft,Misc,,PC,Mojang,Mojang AB,,10,,30.01,,,,,,2010,05th Aug 18,http://www.vgchartz.com/game/47724/minecraft/?region=All,1,,/games/boxart/full_minecraft_1AmericaFront.png
11,Duck Hunt,duck-hunt,Shooter,,NES,Nintendo,Nintendo R&D1,,,,28.31,,,,,,1985,,http://www.vgchartz.com/game/6246/duck-hunt/?region=All,1,,/games/boxart/full_6570468AmericaFrontccc.jpg
12,Wii Play,wii-play,Misc,E,Wii,Nintendo,Nintendo EAD,,5.9,4.5,28.02,,,,,,2007,,http://www.vgchartz.com/game/2666/wii-play/?region=All,1,5.3,/games/boxart/full_6165969AmericaFrontccc.jpg
13,Kinect Adventures!,kinect-adventures,Party,E,X360,Microsoft Game Studios,Good Science Studio,,6.7,,24,,,,,,2010,29th Sep 18,http://www.vgchartz.com/game/45608/kinect-adventures/?region=All,1,6.2,/games/boxart/full_kinect-adventures_386AmericaFront.jpg
14,Nintendogs,nintendogs,Simulation,E,DS,Nintendo,Nintendo EAD,,8.4,,23.96,,,,,,2005,,http://www.vgchartz.com/game/1657/nintendogs/?region=All,1,,/games/boxart/full_4870931AmericaFrontccc.jpg
15,Mario Kart DS,mario-kart-ds,Racing,E,DS,Nintendo,Nintendo EAD,,9.1,9.4,23.6,,,,,,2005,,http://www.vgchartz.com/game/1254/mario-kart-ds/?region=All,1,,/games/boxart/full_9551652AmericaFrontccc.jpg
16,Pokemon Gold / Silver Version,pokmon-gold,Role-Playing,E,GB,Nintendo,Game Freak,,9.2,,23.1,,,,,,2000,,http://www.vgchartz.com/game/4025/pokemon-gold-silver-version/?region=All,1,,/games/boxart/full_1344180AmericaFrontccc.png
17,Wii Fit,wii-fit,Sports,E,Wii,Nintendo,Nintendo EAD,,7.9,,22.67,,,,,,2008,,http://www.vgchartz.com/game/7480/wii-fit/?region=All,1,8,/games/boxart/full_3619557AmericaFrontccc.jpg
18,Wii Fit Plus,wii-fit-plus,Sports,E,Wii,Nintendo,Nintendo EAD,,8,,21.13,,,,,,2009,,http://www.vgchartz.com/game/35077/wii-fit-plus/?region=All,1,,/games/boxart/full_2716475AmericaFrontccc.jpg
19,Super Mario World,super-mario-world,Platform,E,SNES,Nintendo,Nintendo EAD,,8.5,,20.61,,,,,,1991,10th Aug 18,http://www.vgchartz.com/game/4441/super-mario-world/?region=All,1,,/games/boxart/full_1091265AmericaFrontccc.jpg
20,Grand Theft Auto V,grand-theft-auto-v,Action,M,PS3,Rockstar Games,Rockstar North,,9.4,,,20.32,6.37,9.85,0.99,3.12,2013,,http://www.vgchartz.com/game/65884/grand-theft-auto-v/?region=All,1,,/games/boxart/full_6510540AmericaFrontccc.jpg
21,Grand Theft Auto V,grand-theft-auto-v,Action,M,PS4,Rockstar Games,Rockstar North,,9.7,,,19.39,6.06,9.71,0.6,3.02,2014,03rd Jan 18,http://www.vgchartz.com/game/83196/grand-theft-auto-v/?region=All,1,,/games/boxart/full_5563178AmericaFrontccc.jpg
22,Brain Age: Train Your Brain in Minutes a Day,brain-age-train-your-brain-in-minutes-a-day,Misc,E,DS,Nintendo,Nintendo SDD,,8.1,,19.01,,,,,,2006,,http://www.vgchartz.com/game/2948/brain-age-train-your-brain-in-minutes-a-day/?region=All,1,,/games/boxart/full_7749365AmericaFrontccc.jpg
23,Garry's Mod,garrys-mod,Misc,,PC,Unknown,Team Garry,,,,18.58,,,,,,2004,,http://www.vgchartz.com/game/33535/garrys-mod/?region=All,1,,/games/boxart/full_6480469AmericaFrontccc.jpg
24,Super Mario Land,super-mario-land,Platform,E,GB,Nintendo,Nintendo R&D1,,,,18.14,,,,,,1989,,http://www.vgchartz.com/game/4436/super-mario-land/?region=All,1,,/games/boxart/3345559ccc.jpg
25,Mario Kart 7,mario-kart-7,Racing,E,3DS,Nintendo,Nintendo EAD / Retro Studios,,8.2,,18.11,,,,,,2011,,http://www.vgchartz.com/game/45691/mario-kart-7/?region=All,1,,/games/boxart/full_mario-kart-7_649AmericaFront.jpg
26,Pokemon Diamond / Pearl Version,pokmon-diamond,Role-Playing,E,DS,Nintendo,Game Freak,,8.6,,17.67,,,,,,2007,,http://www.vgchartz.com/game/4022/pokemon-diamond-pearl-version/?region=All,1,,/games/boxart/full_2730687AmericaFrontccc.jpg
27,Grand Theft Auto: San Andreas,grand-theft-auto-san-andreas,Action,M,PS2,Rockstar Games,Rockstar North,,9.5,,17.3,,,,,,2004,,http://www.vgchartz.com/game/3427/grand-theft-auto-san-andreas/?region=All,1,,/games/boxart/3887656ccc.jpg
28,Super Mario Bros. 3,super-mario-bros-3,Platform,E,NES,Nintendo,Nintendo R&D2,,,,17.28,,,,,,1990,09th Aug 18,http://www.vgchartz.com/game/6458/super-mario-bros-3/?region=All,1,,/games/boxart/4113056ccc.jpg
29,Pokemon X/Y,pokmon-x,Role-Playing,E,3DS,Nintendo,Game Freak,,8.9,9.7,16.37,,,,,,2013,06th Jan 18,http://www.vgchartz.com/game/71449/pokemon-xy/?region=All,1,,/games/boxart/full_9470074AmericaFrontccc.png
30,Pokemon Ruby / Sapphire Version,pokmon-ruby,Role-Playing,E,GBA,Nintendo,Game Freak,,8.8,,16.22,,,,,,2003,,http://www.vgchartz.com/game/4031/pokemon-ruby-sapphire-version/?region=All,1,,/games/boxart/full_4771333AmericaFrontccc.png
31,Grand Theft Auto: Vice City,grand-theft-auto-vice-city,Action,M,PS2,Rockstar Games,Rockstar North,,9.6,,,16.15,8.41,5.49,0.47,1.78,2002,,http://www.vgchartz.com/game/896/grand-theft-auto-vice-city/?region=All,1,,/games/boxart/827563ccc.jpg
32,Pokemon Sun/Moon,pokmon-sun,Role-Playing,E,3DS,Nintendo,Game Freak,,9,,16.14,,,,,,2016,03rd Aug 18,http://www.vgchartz.com/game/91783/pokemon-sunmoon/?region=All,1,,/games/boxart/full_6532288JapanFrontccc.png
